Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering X2
0.304 0.0 0.355 7.42e-05 0.002275 3.1416 inverted 124.16475117341676
0.304 0.0 0.355 7.42e-05 0.002275 0.62832 normal 133.93423131208095
0.304 0.0 0.355 7.42e-05 0.002275 3.1416 normal 133.93423131208095
0.304 0.0 0.355 7.42e-05 0.002275 2.51328 inverted 124.16475117341676
0.304 0.0 0.355 7.42e-05 0.002275 0.0 normal 133.93423131208095
0.304 0.0 0.355 7.42e-05 0.002275 0.62832 inverted 124.16475117341676
0.304 0.0 0.355 7.42e-05 0.002275 1.88496 inverted 124.16475117341676
0.304 0.0 0.355 7.42e-05 0.002275 3.76992 normal 133.93423131208095
0.304 0.0 0.355 7.42e-05 0.002275 5.65488 inverted 124.16475117341676
0.304 0.0 0.355 7.42e-05 0.002275 0.0 inverted 124.16475117341676
0.304 0.0 0.355 7.42e-05 0.002275 5.02656 inverted 124.16475117341676
0.304 0.0 0.355 7.42e-05 0.002275 1.25664 inverted 124.16475117341676
0.304 0.0 0.355 7.42e-05 0.002275 5.02656 normal 133.93423131208095
0.304 0.0 0.355 7.42e-05 0.002275 1.88496 normal 133.93423131208095
0.304 0.0 0.355 7.42e-05 0.002275 1.25664 normal 133.93423131208095
0.304 0.0 0.355 7.42e-05 0.002275 4.3982399999999995 normal 133.93423131208095
0.304 0.0 0.355 7.42e-05 0.002275 2.51328 normal 133.93423131208095
0.304 0.0 0.355 7.42e-05 0.002275 5.65488 normal 133.93423131208095
0.304 0.0 0.355 7.42e-05 0.002275 4.3982399999999995 inverted 124.16475117341676
0.304 0.0 0.355 7.42e-05 0.002275 3.76992 inverted 124.16475117341676
0.304 0.0 0.355 7.42e-05 0.00233125 4.3982399999999995 inverted 107.80035974114487
0.304 0.0 0.355 7.42e-05 0.00233125 3.1416 inverted 107.80035974114487
0.304 0.0 0.355 7.42e-05 0.00233125 1.88496 inverted 107.80035974114487
0.304 0.0 0.355 7.42e-05 0.00233125 1.25664 normal 115.973663507909
0.304 0.0 0.355 7.42e-05 0.00233125 2.51328 inverted 107.80035974114487
0.304 0.0 0.355 7.42e-05 0.00233125 0.62832 inverted 107.80035974114487
0.304 0.0 0.355 7.42e-05 0.00233125 2.51328 normal 115.973663507909
0.304 0.0 0.355 7.42e-05 0.00233125 0.0 inverted 107.80035974114487
0.304 0.0 0.355 7.42e-05 0.00233125 0.0 normal 115.973663507909
0.304 0.0 0.355 7.42e-05 0.00233125 1.25664 inverted 107.80035974114487
0.304 0.0 0.355 7.42e-05 0.002275 6.2832 normal 133.93423131208095
0.304 0.0 0.355 7.42e-05 0.00233125 4.3982399999999995 normal 115.973663507909
0.304 0.0 0.355 7.42e-05 0.002275 6.2832 inverted 124.16475117341676
0.304 0.0 0.355 7.42e-05 0.00233125 0.62832 normal 115.973663507909
0.304 0.0 0.355 7.42e-05 0.00233125 3.1416 normal 115.973663507909
0.304 0.0 0.355 7.42e-05 0.00233125 1.88496 normal 115.973663507909
